circuit_family,logical_qubits,topology,optimization_level,n_seeds,min,max,median,spread,relative_spread,iqr,normalized_spread,zero_spread,stratum
qft,12,cairo_heavy_hex_27,3,5,2.071428571428572,3.238095238095238,2.7857142857142856,1.166666666666666,1.5632183908045973,0.6190476190476191,0.4188034188034186,False,L3
qft,16,cairo_heavy_hex_27,3,5,2.896551724137931,3.2586206896551726,3.103448275862069,0.36206896551724155,1.125,0.27586206896551735,0.11666666666666672,False,L3
qft,20,cairo_heavy_hex_27,3,5,2.202702702702702,3.3783783783783785,2.7972972972972974,1.1756756756756763,1.533742331288344,0.5675675675675675,0.42028985507246397,False,L3
qft,24,cairo_heavy_hex_27,3,5,1.9555555555555555,3.577777777777778,3.2111111111111112,1.6222222222222225,1.8295454545454546,0.2888888888888883,0.5051903114186852,False,L3
efficient_su2,4,line_27,3,5,1.75,2.0,1.75,0.25,1.1428571428571428,0.0,0.14285714285714285,False,L3
efficient_su2,8,line_27,3,5,2.875,2.875,2.875,0.0,1.0,0.0,0.0,True,L3
efficient_su2,12,line_27,3,5,3.25,3.25,3.25,0.0,1.0,0.0,0.0,True,L3
efficient_su2,16,line_27,3,5,3.4375,3.4375,3.4375,0.0,1.0,0.0,0.0,True,L3
efficient_su2,20,line_27,3,5,3.55,3.55,3.55,0.0,1.0,0.0,0.0,True,L3
efficient_su2,24,line_27,3,5,3.6458333333333335,3.7291666666666665,3.7083333333333335,0.08333333333333304,1.0228571428571427,0.08333333333333304,0.02247191011235947,False,L3
ghz_chain,4,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,8,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,12,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,16,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,20,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_chain,24,line_27,3,5,1.0,1.0,1.0,0.0,1.0,0.0,0.0,True,L3
ghz_star,4,line_27,3,5,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666667,1.5,0.3333333333333335,0.5000000000000001,False,L3
ghz_star,8,line_27,3,5,1.7142857142857142,2.2857142857142856,1.7142857142857142,0.5714285714285714,1.3333333333333333,0.5714285714285714,0.3333333333333333,False,L3
ghz_star,12,line_27,3,5,1.818181818181818,2.1818181818181817,1.818181818181818,0.36363636363636376,1.2000000000000002,0.0,0.2000000000000001,False,L3
ghz_star,16,line_27,3,5,1.8666666666666667,1.8666666666666667,1.8666666666666667,0.0,1.0,0.0,0.0,True,L3
ghz_star,20,line_27,3,5,1.894736842105263,2.1052631578947367,1.894736842105263,0.21052631578947367,1.1111111111111112,0.21052631578947367,0.1111111111111111,False,L3
ghz_star,24,line_27,3,5,2.0869565217391304,2.0869565217391304,2.0869565217391304,0.0,1.0,0.0,0.0,True,L3
qft,4,line_27,3,5,1.5,1.7,1.7,0.19999999999999996,1.1333333333333333,0.19999999999999996,0.11764705882352938,False,L3
qft,8,line_27,3,5,1.8846153846153848,2.1923076923076925,2.0,0.3076923076923077,1.163265306122449,0.11538461538461542,0.15384615384615385,False,L3
qft,12,line_27,3,5,2.1666666666666665,2.3095238095238093,2.2142857142857144,0.1428571428571428,1.065934065934066,0.07142857142857162,0.06451612903225803,False,L3
qft,16,line_27,3,5,1.9827586206896552,2.293103448275862,2.155172413793104,0.31034482758620685,1.1565217391304348,0.1034482758620685,0.14399999999999993,False,L3
qft,20,line_27,3,5,2.0405405405405403,2.391891891891892,2.283783783783784,0.35135135135135176,1.1721854304635764,0.32432432432432456,0.153846153846154,False,L3
qft,24,line_27,3,5,2.0,2.577777777777778,2.333333333333333,0.577777777777778,1.288888888888889,0.3111111111111109,0.2476190476190477,False,L3
